Rows, Columns, Density, Ticks
10, 10, 0.4, 8
10, 10, 0.4, 6
10, 10, 0.4, 10
10, 10, 0.4, 4
10, 10, 0.4, 6
10, 10, 0.4, 4
10, 10, 0.4, 5
10, 10, 0.4, 1
10, 10, 0.4, 1
10, 10, 0.4, 1
10, 10, 0.4, 2
10, 10, 0.4, 10
10, 10, 0.4, 1
10, 10, 0.4, 6
10, 10, 0.4, 4
10, 10, 0.4, 1
10, 10, 0.4, 1
10, 10, 0.4, 1
10, 10, 0.4, 5
10, 10, 0.4, 5
10, 10, 0.4, 4
10, 10, 0.4, 3
10, 10, 0.4, 2
10, 10, 0.4, 1
10, 10, 0.4, 5
10, 10, 0.4, 3
10, 10, 0.4, 12
10, 10, 0.4, 9
10, 10, 0.4, 4
10, 10, 0.4, 19
10, 10, 0.4, 14
10, 10, 0.5, 5
10, 10, 0.5, 5
10, 10, 0.5, 4
10, 10, 0.5, 7
10, 10, 0.5, 10
10, 10, 0.5, 10
10, 10, 0.5, 13
10, 10, 0.5, 3
10, 10, 0.5, 8
10, 10, 0.5, 3
10, 10, 0.5, 1
10, 10, 0.5, 7
10, 10, 0.5, 5
10, 10, 0.5, 14
10, 10, 0.5, 8
10, 10, 0.5, 14
10, 10, 0.5, 7
10, 10, 0.5, 3
10, 10, 0.5, 4
10, 10, 0.5, 6
10, 10, 0.5, 6
10, 10, 0.5, 3
10, 10, 0.5, 4
10, 10, 0.5, 13
10, 10, 0.5, 3
10, 10, 0.5, 1
10, 10, 0.5, 3
10, 10, 0.5, 13
10, 10, 0.5, 9
10, 10, 0.5, 2
10, 10, 0.5, 7
10, 10, 0.5, 5
10, 10, 0.5, 9
10, 10, 0.5, 5
10, 10, 0.5, 15
10, 10, 0.5, 4
10, 10, 0.5, 5
10, 10, 0.5, 3
10, 10, 0.5, 10
10, 10, 0.5, 7
10, 10, 0.5, 2
10, 10, 0.5, 2
10, 10, 0.5, 10
10, 10, 0.5, 4
10, 10, 0.5, 4
10, 10, 0.5, 10
10, 10, 0.5, 16
10, 10, 0.5, 4
10, 10, 0.5, 10
10, 10, 0.5, 11
10, 10, 0.5, 4
10, 10, 0.5, 2
10, 10, 0.5, 3
10, 10, 0.5, 10
10, 10, 0.5, 3
10, 10, 0.5, 14
10, 10, 0.5, 5
10, 10, 0.5, 5
10, 10, 0.5, 11
10, 10, 0.5, 3
10, 10, 0.5, 5
10, 10, 0.5, 1
10, 10, 0.5, 3
10, 10, 0.5, 7
10, 10, 0.5, 9
10, 10, 0.5, 3
10, 10, 0.5, 12
10, 10, 0.5, 3
10, 10, 0.5, 3
10, 10, 0.5, 8
10, 10, 0.5, 15
10, 10, 0.5, 17
10, 10, 0.5, 5
10, 10, 0.5, 4
10, 10, 0.5, 6
10, 10, 0.5, 8
10, 10, 0.5, 2
10, 10, 0.5, 11
10, 10, 0.5, 11
10, 10, 0.5, 6
10, 10, 0.5, 1
10, 10, 0.5, 4
10, 10, 0.5, 6
10, 10, 0.5, 4
10, 10, 0.5, 8
10, 10, 0.5, 9
10, 10, 0.5, 6
10, 10, 0.5, 19
10, 10, 0.5, 5
10, 10, 0.5, 10
10, 10, 0.5, 9
10, 10, 0.5, 4
10, 10, 0.5, 3
10, 10, 0.5, 16
10, 10, 0.5, 5
10, 10, 0.5, 4
10, 10, 0.5, 8
10, 10, 0.5, 8
